shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum,dist_to_center
503625,银星皇冠假日酒店星缘咖啡厅,121.429923,31.203086,40.0,10.0,自助餐,food,503625.0,美食,389.0,3.9701465847008612
27414785,星巴克,121.49741000000002,31.264120000000002,35.0,10.0,星巴克,food,1889797.0,美食,155.0,2.2256098919664282
21294388,春在,121.499792,31.233203000000003,45.0,10.0,本帮江浙菜,food,21294388.0,美食,1845.0,9.556111030318956
90524225,御味丰,121.18699948421845,31.19431073412495,30.0,10.0,小吃快餐,food,90524225.0,美食,1.0,2.3325725975328857
18423625,le frites,121.38523,31.220990000000004,0.0,10.0,快餐简餐,food,18423625.0,美食,0.0,8.997433803137472
79632767,藻想鱼见你∙螺旋藻涮鱼片,121.516768,31.228193,40.0,10.0,鱼火锅,food,79632767.0,美食,508.0,8.926461590186621
14747969,金缘美食,121.473453,31.253815999999997,0.0,10.0,快餐简餐,food,14747969.0,美食,0.0,3.9240271599363004
69962587,HPLY CAFÉ荷咖啡,121.40793500000001,31.207275,45.0,10.0,咖啡厅,food,69962587.0,美食,82.0,2.5906618572080458
5439031,赛百味,121.51171000000001,31.235259999999997,35.0,10.0,西式简餐,food,501242.0,美食,403.0,3.791694001595251
15002795,河南拉面刀削面烩面,121.48640400000001,31.223125,35.0,10.0,小吃快餐,food,15002795.0,美食,2.0,3.0357551574547785
69149627,叁叁见面,121.52117,31.32113,35.0,10.0,小吃快餐,food,69149627.0,美食,19.0,16.994295934365887
45334755,兰州牛肉拉面,121.21638899999999,31.038602,30.0,10.0,小吃快餐,food,45334755.0,美食,2.0,3.822149301731773
80614063,伯衡55,121.44859985115812,31.20643913947004,40.0,10.0,粤菜馆,food,80614063.0,美食,21.0,6.088874067618165
79963308,大众饭店,121.41011,31.03235,0.0,10.0,快餐简餐,food,79963308.0,美食,0.0,2.3838822731094123
77714326,bye bye disco cafe,121.20213003162745,31.04952922610127,30.0,10.0,咖啡厅,food,77714326.0,美食,0.0,6.040413574459492
22275404,淮南风味牛肉汤,121.75686100000001,31.154643,30.0,10.0,快餐简餐,food,22275404.0,美食,1.0,2.106043253135948
