shopId,shopName,shopGlat,shopGlng,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,price,comNum
11555207,S26沪常高速淀山湖收费站,31.221731400003,121.070181800097,35,10,本帮菜,food,11555207,美食,-,6
11555289,老北桥过桥米线,31.17225,121.507335,35,10,小吃快餐,food,5594344,美食,36,798
11556189,食之秘,31.222671,121.395841,40,10,饮品,food,2050756,48,783
11557516,末那寿司,31.21938,121.417869,45,10,寿司/简餐,food,11557516,美食,85,3454
11557550,大海小鲜,30.903918,121.448905,30,10,本帮江浙菜,food,11557550,美食,88,73
11558383,朝鲜小吃,31.115455,121.386512,35,10,快餐简餐,food,11558383,美食,18,37
11558489,品安煲,31.236842,121.438085,35,10,川菜/家常菜,food,502464,美食,47,29
11558726,麦咖啡,31.269383,121.537753,35,10,咖啡厅,food,3880879,美食,29,6
11558837,桂忠面馆,31.119369,121.766355,35,10,快餐简餐,food,11558837,美食,13,42
11558995,有间咖啡,31.039479,121.749495,30,10,咖啡厅,food,11558995,美食,41,30
11559455,品安煲,31.24652,121.44436,35,10,川菜/家常菜,food,502464,美食,29,15
11559568,小南国花园酒店AdD全日制餐厅,31.291871,121.532919,40,10,自助餐,food,11559568,美食,188,2996
11560713,北京门前烤鸭,31.2865800000285,121.427549999901,35,10,北京菜,food,11560713,美食,-,3
11562494,咖啡陪你CaffeBene,31.168993,121.373958,40,10,咖啡厅,food,8022941,美食,45,1598
11563503,85度C,31.3110900000014,121.459820000062,35,10,面包甜点,food,2355241,美食,19,167
11564539,汉堡王,31.03821,121.217089,35,10,快餐简餐,food,506444,美食,37,576
11565391,百春原,31.164636,121.342159,35,10,快餐简餐,food,4716940,美食,32,827
11565407,申申面包房,31.15812,121.40008,35,10,面包甜点,food,502538,美食,16,65
11566662,新旺茶餐厅,31.23292,121.41233,35,10,茶餐厅,food,501211,美食,95,4216
11566955,丸龟制面,31.271032,121.478241,40,10,寿司/简餐,food,5567930,美食,33,2884
11567283,小四川水煮鱼,31.30039923554358,121.15361032086021,35,10,川菜/家常菜,food,11567283,美食,157,123
11567294,巴比馒头,31.151143,121.314253,35,10,快餐简餐,food,501377,美食,-,8
11567486,云烹过桥米线,31.208819,121.51951,35,10,小吃快餐,food,11567486,美食,31,957
11567693,大蔬无界·上海外滩和美馆,31.230799,121.493999,50,10,素菜,food,4712756,美食,256,3011
11568320,鱼跃小厨,31.246979,121.484162,35,10,香锅,food,11568320,美食,58,239
11568692,一家小院,31.370818,121.490652,35,10,本帮江浙菜,food,11568692,美食,81,41
11568876,景源寿司,31.407267,121.488679,40,10,小吃,food,11568876,美食,73,695
11569701,呀可奶茶,31.11707,121.26043,35,10,饮品,food,11569701,美食,-,4
11569811,四季菜馆,31.189393,121.698774,35,10,家常菜,food,11569811,美食,45,5
11569943,潮申牛肉,31.171358,121.44373,35,10,火锅,food,11569943,美食,70,103
11570375,星巴克,31.28427,121.44994,40,10,星巴克,food,1889797,美食,34,107
11570503,世界茶饮,31.270636,121.477602,35,10,饮品,food,5309633,美食,21,494
11570937,牛信亭,31.184393,121.428494,40,10,韩国料理,food,67108503,美食,107,4308
11570969,养生粥,31.266356,121.430018,30,10,粥店,food,5323997,美食,20,41
